                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.91425,                 1.0175,                  1.433,                0.54231,                0.64313,                 0.6223,                0.45542,                 1.0099,                 1.0107,                 1.6336,             0.00052806,             0.00052806,             0.00052806
                     55,                0.92748,                 1.0063,                 1.4574,                0.55923,                0.64265,                0.60746,                0.43696,                 1.0642,                 1.3429,                 1.7001,             0.00051706,             0.00051706,             0.00051706
                     56,                0.90184,                0.98351,                 1.4265,                0.52663,                0.67757,                0.63339,                0.46313,                 1.0437,                0.99515,                 1.6318,             0.00050606,             0.00050606,             0.00050606
                     57,                0.92777,                0.97394,                 1.4473,                0.57279,                0.65143,                0.65979,                0.47165,                 1.1351,                0.98903,                 1.8044,             0.00049506,             0.00049506,             0.00049506
                     58,                0.88915,                0.97436,                 1.4211,                0.55612,                0.70852,                0.65429,                 0.4765,                  1.015,                0.97086,                 1.6245,             0.00048406,             0.00048406,             0.00048406
                     59,                0.89061,                0.97938,                 1.4175,                0.54014,                0.70631,                0.64425,                0.46778,                0.98834,                0.99091,                 1.5979,             0.00047306,             0.00047306,             0.00047306
                     60,                 0.8704,                0.93918,                 1.4009,                 0.6201,                0.64457,                0.65375,                0.47273,                 1.0607,                0.98538,                  1.697,             0.00046206,             0.00046206,             0.00046206
                     61,                 0.8852,                0.92599,                 1.4069,                0.57571,                0.64035,                0.63158,                0.45113,                 1.0607,                 1.0243,                 1.6951,             0.00045107,             0.00045107,             0.00045107
                     62,                0.88094,                0.95886,                 1.4221,                0.60559,                0.61149,                0.64109,                0.47109,                 1.0191,                 1.1109,                 1.6209,             0.00044007,             0.00044007,             0.00044007
                     63,                0.88315,                0.93354,                 1.4107,                0.57068,                0.70186,                 0.6638,                0.48358,                 1.0669,                 1.0196,                 1.6773,             0.00042907,             0.00042907,             0.00042907
                     64,                0.86793,                 0.9048,                 1.3985,                0.55578,                0.68515,                0.66775,                0.48212,                  1.117,                 1.0087,                 1.7509,             0.00041807,             0.00041807,             0.00041807
                     65,                0.84733,                 0.9028,                 1.3889,                0.56651,                 0.7023,                0.66612,                0.48633,                 1.0361,                0.93633,                 1.6637,             0.00040707,             0.00040707,             0.00040707
                     66,                0.86116,                0.89988,                 1.3966,                0.58721,                0.66794,                0.65803,                0.48174,                 1.0219,                 1.0331,                 1.6343,             0.00039607,             0.00039607,             0.00039607
                     67,                0.85569,                 0.8742,                 1.3911,                 0.6254,                 0.6544,                 0.6693,                 0.4914,                0.99408,                 1.0982,                 1.6017,             0.00038507,             0.00038507,             0.00038507
                     68,                0.84283,                0.87321,                 1.3735,                0.61514,                0.68097,                0.69196,                0.50935,                 1.0081,                0.91895,                 1.6273,             0.00037407,             0.00037407,             0.00037407
                     69,                0.84904,                0.86407,                 1.3732,                 0.5859,                0.67679,                0.66335,                0.49085,                0.99446,                 1.0085,                 1.6007,             0.00036307,             0.00036307,             0.00036307
                     70,                0.83818,                0.86753,                 1.3775,                0.62892,                0.68636,                0.69547,                0.50861,                 1.0233,                0.89463,                 1.6326,             0.00035208,             0.00035208,             0.00035208
                     71,                0.83139,                0.85223,                 1.3633,                0.58849,                0.71868,                0.69395,                0.51327,                  1.015,                0.91427,                 1.6512,             0.00034108,             0.00034108,             0.00034108
                     72,                0.83023,                0.83158,                  1.357,                0.62478,                0.70212,                  0.702,                0.51794,                 1.0246,                0.88907,                 1.6267,             0.00033008,             0.00033008,             0.00033008
                     73,                0.84003,                0.83643,                 1.3656,                0.62054,                0.68189,                0.69103,                0.50834,                 0.9862,                0.90905,                 1.6024,             0.00031908,             0.00031908,             0.00031908
                     74,                0.85045,                 0.8186,                 1.3813,                0.61793,                0.71692,                0.70744,                0.51888,                 1.0011,                0.87345,                 1.6103,             0.00030808,             0.00030808,             0.00030808
                     75,                0.82342,                0.81519,                 1.3654,                0.63091,                 0.6962,                 0.6949,                0.51397,                0.98535,                0.99008,                 1.5961,             0.00029708,             0.00029708,             0.00029708
                     76,                0.80983,                0.79062,                 1.3492,                 0.6081,                 0.6821,                0.68867,                0.51407,                0.99904,                0.94554,                 1.6141,             0.00028608,             0.00028608,             0.00028608
                     77,                0.80933,                 0.8045,                 1.3502,                0.65674,                0.69372,                0.70401,                0.52144,                 1.0115,                 0.9185,                 1.6258,             0.00027508,             0.00027508,             0.00027508
                     78,                0.80614,                0.79468,                 1.3422,                0.62028,                0.73795,                0.71515,                0.52961,                0.98143,                0.90184,                  1.583,             0.00026408,             0.00026408,             0.00026408
                     79,                0.79519,                0.77168,                 1.3361,                0.65831,                0.66902,                0.70255,                0.52068,                 0.9742,                0.87788,                 1.5792,             0.00025309,             0.00025309,             0.00025309
                     80,                0.79317,                0.75687,                  1.336,                0.61443,                0.71289,                0.70147,                0.51907,                 1.0234,                0.92283,                 1.6406,             0.00024209,             0.00024209,             0.00024209
                     81,                0.78695,                0.76044,                 1.3267,                0.69128,                0.67299,                 0.7236,                0.53117,                 1.0354,                0.84814,                 1.6478,             0.00023109,             0.00023109,             0.00023109
                     82,                0.79671,                0.75688,                 1.3302,                0.61816,                0.72984,                0.71996,                0.53628,                0.96821,                0.91964,                 1.5664,             0.00022009,             0.00022009,             0.00022009
                     83,                0.77339,                0.73896,                 1.3152,                0.65911,                0.66998,                0.71423,                0.53536,                0.96263,                0.90043,                 1.5701,             0.00020909,             0.00020909,             0.00020909
                     84,                0.78456,                0.72611,                 1.3196,                0.65835,                0.70527,                0.71678,                0.54132,                0.94568,                0.87629,                 1.5621,             0.00019809,             0.00019809,             0.00019809
                     85,                0.79228,                 0.7405,                 1.3256,                0.64194,                0.70901,                0.70914,                0.52941,                0.98468,                0.88833,                 1.6037,             0.00018709,             0.00018709,             0.00018709
                     86,                0.77122,                 0.7164,                 1.3074,                0.67318,                0.68349,                0.72106,                0.54018,                 1.0158,                0.89356,                 1.6419,             0.00017609,             0.00017609,             0.00017609
                     87,                0.77509,                0.73341,                 1.3167,                0.66901,                0.69933,                0.72688,                0.54674,                0.96907,                 0.8654,                 1.5794,             0.00016509,             0.00016509,             0.00016509
                     88,                0.77609,                0.72984,                 1.3189,                0.66007,                0.70139,                0.72599,                0.54675,                0.96102,                0.83314,                 1.5664,              0.0001541,              0.0001541,              0.0001541
                     89,                0.77493,                0.71631,                 1.3142,                0.67667,                0.69099,                0.72836,                0.55149,                0.95424,                 0.8241,                 1.5606,              0.0001431,              0.0001431,              0.0001431
                     90,                0.75146,                0.69865,                 1.2934,                0.69468,                 0.6848,                0.73786,                0.55628,                0.95453,                0.86332,                 1.5561,              0.0001321,              0.0001321,              0.0001321
