                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.74475,                0.62274,                 1.2696,                0.71787,                0.72132,                0.75752,                 0.5642,                0.99418,                0.84582,                 1.6089,             0.00057205,             0.00057205,             0.00057205
                     51,                0.72696,                0.60728,                 1.2549,                0.70272,                0.74979,                0.75809,                0.56576,                0.97902,                0.86412,                 1.6022,             0.00056105,             0.00056105,             0.00056105
                     52,                0.71572,                0.61721,                 1.2504,                0.68882,                0.74611,                0.75905,                0.56027,                 1.0355,                0.83408,                 1.6719,             0.00055006,             0.00055006,             0.00055006
                     53,                0.71332,                 0.6161,                 1.2489,                0.68154,                0.75277,                0.76506,                0.56736,                  0.986,                0.81835,                 1.6178,             0.00053906,             0.00053906,             0.00053906
                     54,                0.72219,                0.61308,                 1.2427,                0.68748,                0.69257,                0.73554,                0.55614,                0.97595,                0.94154,                 1.6033,             0.00052806,             0.00052806,             0.00052806
                     55,                0.74009,                0.62342,                 1.2656,                0.68017,                0.74781,                0.74915,                0.55926,                 1.0007,                0.90914,                 1.6144,             0.00051706,             0.00051706,             0.00051706
                     56,                0.71723,                0.59816,                   1.24,                0.69532,                0.72053,                0.75143,                0.56108,                0.97689,                  0.826,                 1.5978,             0.00050606,             0.00050606,             0.00050606
                     57,                0.73628,                 0.6065,                 1.2556,                0.69239,                0.71755,                0.75291,                 0.5653,                 0.9979,                 0.7983,                 1.6317,             0.00049506,             0.00049506,             0.00049506
                     58,                0.70844,                0.60157,                 1.2361,                0.70451,                0.74996,                0.77521,                0.58208,                0.97685,                0.84765,                 1.5905,             0.00048406,             0.00048406,             0.00048406
                     59,                 0.7182,                 0.6137,                 1.2397,                0.73803,                0.66286,                0.74626,                0.55766,                0.96346,                0.99454,                 1.5989,             0.00047306,             0.00047306,             0.00047306
                     60,                0.69607,                0.58781,                 1.2245,                0.73663,                0.73751,                0.77612,                0.58387,                0.98229,                0.80113,                 1.6129,             0.00046206,             0.00046206,             0.00046206
                     61,                0.71125,                0.57668,                 1.2311,                0.70982,                0.70169,                0.75947,                0.56725,                0.98521,                0.89098,                 1.6196,             0.00045107,             0.00045107,             0.00045107
                     62,                0.69551,                0.60174,                 1.2343,                0.71137,                0.74628,                 0.7744,                0.58536,                0.97652,                0.84489,                 1.5881,             0.00044007,             0.00044007,             0.00044007
                     63,                  0.697,                0.58366,                 1.2242,                0.68498,                0.74333,                 0.7642,                 0.5728,                0.99834,                0.93204,                 1.6514,             0.00042907,             0.00042907,             0.00042907
                     64,                 0.6967,                0.58033,                 1.2225,                0.71059,                0.73669,                0.76551,                0.57208,                 1.0045,                0.87369,                 1.6362,             0.00041807,             0.00041807,             0.00041807
                     65,                0.68023,                0.56491,                 1.2136,                0.71393,                0.73341,                0.77185,                0.58025,                0.97348,                0.83904,                 1.5877,             0.00040707,             0.00040707,             0.00040707
                     66,                0.68672,                0.56974,                 1.2189,                0.65434,                 0.7452,                0.73412,                0.55137,                  1.038,                 1.0917,                 1.6597,             0.00039607,             0.00039607,             0.00039607
                     67,                0.69136,                0.56775,                 1.2218,                0.72036,                0.74131,                0.76372,                0.57929,                0.96873,                0.98899,                 1.5875,             0.00038507,             0.00038507,             0.00038507
                     68,                0.67068,                0.56205,                 1.2012,                 0.7078,                0.74317,                0.76529,                0.57835,                0.97426,                0.87798,                 1.5984,             0.00037407,             0.00037407,             0.00037407
                     69,                0.68439,                0.55962,                 1.2065,                0.71557,                0.74044,                0.77301,                0.58722,                0.93546,                0.80084,                 1.5679,             0.00036307,             0.00036307,             0.00036307
                     70,                0.67995,                0.56088,                 1.2128,                0.67696,                0.75103,                 0.7629,                0.57656,                0.96102,                0.88757,                 1.5868,             0.00035208,             0.00035208,             0.00035208
                     71,                 0.6711,                0.54863,                 1.2032,                0.70383,                0.73112,                0.76679,                0.57931,                 0.9667,                0.88857,                 1.6045,             0.00034108,             0.00034108,             0.00034108
                     72,                0.67087,                0.54572,                 1.2003,                0.72462,                  0.744,                0.77891,                0.58311,                 1.0258,                0.86035,                  1.671,             0.00033008,             0.00033008,             0.00033008
                     73,                0.67579,                0.55078,                 1.2017,                0.75003,                0.70632,                0.77112,                0.58541,                 0.9442,                0.92712,                 1.5611,             0.00031908,             0.00031908,             0.00031908
                     74,                 0.6842,                0.54982,                 1.2198,                0.69065,                0.77119,                0.78728,                0.59312,                 0.9488,                 0.8079,                 1.5772,             0.00030808,             0.00030808,             0.00030808
                     75,                0.66442,                0.56129,                 1.2018,                0.71646,                0.73966,                 0.7579,                0.57401,                0.95655,                 0.8834,                 1.5805,             0.00029708,             0.00029708,             0.00029708
                     76,                0.65293,                0.54165,                 1.1936,                0.73657,                0.74478,                0.78388,                 0.5986,                 0.9679,                0.80718,                 1.6085,             0.00028608,             0.00028608,             0.00028608
                     77,                0.64708,                0.54049,                 1.1906,                0.73248,                0.73285,                0.75855,                0.57749,                0.95086,                0.82709,                 1.5711,             0.00027508,             0.00027508,             0.00027508
                     78,                0.64695,                0.53447,                 1.1868,                0.71889,                0.74146,                0.77778,                0.58929,                 0.9439,                0.79433,                 1.5676,             0.00026408,             0.00026408,             0.00026408
                     79,                0.63404,                0.51915,                   1.18,                0.73619,                0.74392,                 0.7907,                 0.6022,                0.95535,                0.78785,                 1.6076,             0.00025309,             0.00025309,             0.00025309
                     80,                0.63608,                0.51578,                 1.1822,                0.75285,                0.72977,                0.78264,                0.58857,                0.98986,                0.82204,                 1.6401,             0.00024209,             0.00024209,             0.00024209
                     81,                0.63785,                0.52223,                 1.1772,                0.73885,                0.74857,                0.78493,                0.59302,                0.98342,                0.78604,                 1.6344,             0.00023109,             0.00023109,             0.00023109
                     82,                0.64777,                0.51883,                 1.1819,                0.76249,                0.72857,                0.78279,                0.59629,                0.92528,                0.79386,                  1.551,             0.00022009,             0.00022009,             0.00022009
                     83,                0.62414,                0.51399,                 1.1665,                  0.739,                0.74001,                0.78117,                0.59824,                0.93442,                 0.8057,                 1.5552,             0.00020909,             0.00020909,             0.00020909
                     84,                0.63159,                0.50314,                 1.1691,                0.74333,                0.76451,                0.79099,                0.60462,                0.92494,                0.77484,                 1.5479,             0.00019809,             0.00019809,             0.00019809
                     85,                0.64267,                0.51691,                 1.1814,                0.73106,                0.74936,                0.78581,                0.59843,                0.93841,                0.80747,                 1.5745,             0.00018709,             0.00018709,             0.00018709
                     86,                0.62538,                0.49789,                 1.1638,                0.72644,                0.75241,                0.78089,                0.59791,                0.95013,                0.82867,                 1.5988,             0.00017609,             0.00017609,             0.00017609
                     87,                0.62575,                0.51572,                 1.1706,                0.75557,                0.74884,                0.78361,                0.59692,                0.93573,                0.76285,                 1.5722,             0.00016509,             0.00016509,             0.00016509
                     88,                 0.6265,                0.51842,                 1.1717,                0.77259,                0.71768,                0.78447,                0.60011,                0.92298,                0.76451,                 1.5495,              0.0001541,              0.0001541,              0.0001541
                     89,                0.62823,                0.51074,                 1.1705,                0.77062,                0.70994,                0.78158,                0.59856,                0.92651,                0.81121,                 1.5551,              0.0001431,              0.0001431,              0.0001431
                     90,                0.60621,                0.49211,                 1.1536,                 0.7648,                0.72011,                0.79066,                0.60495,                0.92558,                0.77239,                  1.551,              0.0001321,              0.0001321,              0.0001321
                     91,                0.60742,                0.45101,                  1.168,                0.72515,                0.76934,                0.77589,                0.59291,                 0.9127,                0.77169,                 1.5583,              0.0001211,              0.0001211,              0.0001211
                     92,                0.57892,                0.40276,                 1.1372,                0.74542,                0.73725,                0.76939,                0.58757,                0.93102,                0.78373,                 1.5845,              0.0001101,              0.0001101,              0.0001101
                     93,                0.58424,                0.41589,                  1.144,                0.72847,                 0.7522,                0.76975,                0.58948,                0.93582,                 0.8291,                 1.5853,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.56658,                0.40568,                 1.1355,                0.71744,                0.76039,                0.77512,                 0.5905,                 0.9231,                0.79786,                 1.5835,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 0.5683,                  0.414,                 1.1344,                0.72027,                0.76295,                0.77264,                0.59157,                0.92847,                0.79747,                 1.5885,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.56399,                0.41384,                 1.1262,                0.74004,                0.73609,                0.77514,                0.58974,                0.92884,                0.79335,                 1.5828,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 0.5691,                0.40039,                 1.1377,                0.71592,                0.77867,                 0.7868,                0.60448,                0.91704,                0.77198,                 1.5659,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.56266,                0.40658,                 1.1361,                0.73477,                0.75355,                0.78033,                0.59956,                0.93298,                0.78281,                 1.5926,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 0.5375,                0.37737,                 1.1091,                0.69975,                0.79456,                 0.7786,                0.59935,                0.90859,                0.78697,                 1.5558,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.53916,                0.38147,                 1.1072,                0.72345,                0.77284,                0.78225,                0.59988,                0.91724,                0.78091,                 1.5679,             2.2109e-05,             2.2109e-05,             2.2109e-05
